AGE,AGE1,AGE2,AGE3,AGE4,AGE5,Older_binary,Younger,Middle,Older,CAREGIVER,SERVICE,AUDASS,TAXLEG,ADVISO,SHARED,JOBLEVEL,Trainee,Junior,Senior,Assistantmanager,Manager,Seniormanager,Director,Partner,Infrastructure,CI_EquitableHR1,CI_EquitableHR2,CI_EquitableHR3,CI_EquitableHR4,CI_EquitableHR5,CI_IntegrationOfDiff1,CI_IntegrationOfDiff2,CI_IntegrationOfDiff3,CI_IntegrationOfDiff4,CI_IntegrationOfDiff5,CI_IntegrationOfDiff6,CI_IntegrationOfDiff7,CI_DecisionMaking1,CI_DecisionMaking2,CI_DecisionMaking3,CI,CI14,FINNISH,GenderBinary
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,5,3,3,3,4,5,2,2,3,5,3,3,3,4,4,3.466666667,3.5,1,0
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,2,2,2,1,6,2,4,2,2,3,3,2,2,2,2.4,2.357142857,1,1
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,3,2,2,3,3,1,4,2,5,4,4,2,2,2,2.733333333,2.642857143,1,1
4,0,0,0,1,0,1,0,0,1,1,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,3,3,5,4,2,3,2,3,3,4,5,4,3,3,4,3.4,3.357142857,1,1
2,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,9,0,0,0,0,0,0,0,0,1,4,6,6,3,6,3,3,6,4,3,3,4,7,6,5,4.6,4.642857143,1,1
1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,3,2,2,2,6,2,4,3,5,4,4,2,3,5,3.266666667,3.214285714,1,0
2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,6,5,6,5,5,7,2,5,5,6,6,6,5,5,5,5.266666667,5.214285714,1,1
2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,5,5,5,5,5,6,7,6,6,6,6,6,6,6,6,5.733333333,5.714285714,1,0
3,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,7,0,0,0,0,0,0,1,0,0,3,5,6,3,5,5,2,5,3,6,5,6,5,6,6,4.733333333,4.642857143,1,1
4,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,9,0,0,0,0,0,0,0,0,1,3,2,2,4,1,2,2,1,2,4,2,2,2,3,3,2.333333333,2.357142857,1,1
1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,2,5,5,2,2,6,3,5,3,6,3,5,5,5,5,4.133333333,4.071428571,1,0
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,6,0,0,0,0,0,1,0,0,0,6,3,3,5,3,5,3,1,3,3,6,6,2,2,3,3.6,3.428571429,1,0
1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4,0,0,0,1,0,0,0,0,0,5,4,1,5,6,7,2,6,4,6,6,6,1,1,1,4.066666667,3.928571429,1,0
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,3,2,5,4,2,1,5,2,3,5,2,3,5,4,4,3.333333333,3.357142857,1,1
3,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,6,0,0,0,0,0,1,0,0,0,2,3,5,3,3,6,2,3,3,3,6,6,3,2,3,3.533333333,3.357142857,1,1
3,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,1,3,3,1,1,6,5,4,3,5,5,5,2,3,2,3.266666667,3.142857143,1,1
1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,3,5,6,2,2,5,2,4,2,3,5,4,3,2,3,3.4,3.357142857,1,0
2,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,4,0,0,0,1,0,0,0,0,0,5,4,3,4,5,5,2,4,3,5,5,4,3,3,3,3.866666667,3.857142857,1,1
2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,0,0,2,5,3,3,2,6,2,2,5,6,4,5,2,2,2,3.4,3.285714286,1,1
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,4,4,3,3,5,3,5,2,4,5,3,3,5,3,5,3.8,3.857142857,1,1
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,3,1,2,1,4,2,1,2,2,5,5,4,2,3,3,2.666666667,2.571428571,1,1
4,0,0,0,1,0,1,0,0,1,0,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,3,1,1,1,1,2,5,2,2,2,2,2,5,5,3,2.466666667,2.5,1,1
2,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,5,3,3,1,1,3,3,4,3,5,5,5,3,2,3,3.266666667,3.142857143,1,1
3,0,0,1,0,0,0,0,1,0,1,4,0,0,0,1,9,0,0,0,0,0,0,0,0,1,3,6,5,3,3,6,6,6,5,5,5,6,3,5,5,4.8,4.714285714,1,1
1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,5,5,5,5,3,5,2,3,5,6,5,5,6,5,5,4.666666667,4.642857143,1,1
